,BTCUSD,ETHUSD,SOLUSD,BNBUSD,AVAXUSD
count,1575.0,1575.0,1575.0,1575.0,1575.0
mean,0.0011791153810918331,0.0012433478841558099,0.0046056644059717655,0.00271439622156322,0.003200878156349063
std,0.03201393410563469,0.04131406918168068,0.06208653002977371,0.04611840844154358,0.06514295190572739
min,-0.15974724292755127,-0.2720034718513489,-0.42280906438827515,-0.3326563239097595,-0.36495041847229004
25%,-0.013798326253890991,-0.018064171075820923,-0.02989107370376587,-0.015015095472335815,-0.02992311120033264
50%,-2.485513687133789e-05,0.0005880594253540039,-0.00014358758926391602,0.0010946989059448242,0.00015628337860107422
75%,0.015573859214782715,0.020750880241394043,0.033832669258117676,0.017298340797424316,0.031933605670928955
max,0.18746471405029297,0.2531362771987915,0.35703039169311523,0.6976040601730347,0.7500134706497192
skewness,0.1224373450531918,0.0046511175486141,0.38936432675429067,2.6780121228359004,1.47589195079824
kurtosis,3.3569542616086983,4.343004867409994,5.348352672354048,40.25117340394313,14.38746162322311
JB_p,3.605678323231233e-162,1.6377209770574345e-269,0.0,0.0,0.0
