datetime,BTCUSD,ETHUSD,SOLUSD,BNBUSD,AVAXUSD
2021-01-04,,,,,
2021-01-05,,,,,
2021-01-06,,,,,
2021-01-07,,,,,
2021-01-08,,,,,
2021-01-09,,,,,
2021-01-10,,,,,
2021-01-11,,,,,
2021-01-12,,,,,
2021-01-13,,,,,
2021-01-14,,,,,
2021-01-15,,,,,
2021-01-16,,,,,
2021-01-17,,,,,
2021-01-18,,,,,
2021-01-19,,,,,
2021-01-20,,,,,
2021-01-21,,,,,
2021-01-22,,,,,
2021-01-23,1.9031562960028605e-11,1.1824441588613597e-09,0.0004922539144532057,1.3295596545452007e-06,0.0001281511866242646
2021-01-24,1.876878294090281e-11,1.2492162054917575e-09,0.0004608142274882543,1.3896900443889485e-06,0.00011765906946653581
2021-01-25,1.7495787490081373e-11,1.2309609646474227e-09,0.00039896244303019857,1.3679544593232112e-06,9.050275910638117e-05
2021-01-26,1.6212296621721378e-11,1.1664402720338226e-09,0.00035542877469332823,1.3526745504339392e-06,7.858896063214424e-05
2021-01-27,1.6992455490609338e-11,1.2317017889275141e-09,0.000363673668350023,1.3508319081842186e-06,7.59100021881752e-05
2021-01-28,1.8352698628210782e-11,1.2970624319198096e-09,0.0003552857210688265,1.3872201535741822e-06,5.631685494464009e-05
2021-01-29,1.8394247806981744e-11,1.2685891996986856e-09,0.0003482058297081536,1.3320606389230212e-06,4.78949416043116e-05
2021-01-30,1.763763195881781e-11,1.2596603683139437e-09,0.00036424636839713087,1.3660455902778502e-06,4.1802936231929294e-05
2021-01-31,1.775821818307967e-11,1.2175262919516428e-09,0.00034448929568317577,1.2428804592974694e-06,4.199756509356764e-05
2021-02-01,1.7133587818876914e-11,1.2119245454340948e-09,0.0003377004414821527,1.345279687174877e-06,3.5171621897475e-05
2021-02-02,1.656783499194331e-11,1.1675843399969346e-09,0.0003436230920465799,1.236859372348131e-06,3.141054416349806e-05
2021-02-03,1.6759686465571307e-11,1.1418360683536648e-09,0.00034023796237001025,1.176990354510236e-06,3.0410378935082777e-05
2021-02-04,1.5802754550287395e-11,1.1242625566829717e-09,0.00034574318642441315,1.195727119037294e-06,3.053390950453691e-05
2021-02-05,1.6104170893695593e-11,1.1141704344021445e-09,0.00033634649674804673,1.1924657630083056e-06,2.8645961199901676e-05
2021-02-06,1.6334752287092302e-11,1.128333215047741e-09,0.0003278090301810088,1.1219564717858117e-06,2.8385402801043083e-05
2021-02-07,1.5878122346658098e-11,1.1247749169865984e-09,0.00033321877705022596,1.1369013422138081e-06,2.8455315713308074e-05
2021-02-08,1.7337656357241528e-11,1.1016436224552978e-09,0.0003271242778393746,1.0907200379903638e-06,2.6726230088628192e-05
2021-02-09,1.7102803170517047e-11,1.1066556649658395e-09,0.0003211913907584518,1.1150874459027785e-06,2.543422196487656e-05
2021-02-10,1.4482664698323835e-11,9.130735600897927e-10,0.00024437403203445007,9.22262552345034e-07,2.3191905454455e-05
2021-02-11,1.3968551019952634e-11,8.40693582277843e-10,0.00021945631570666202,8.068453062720876e-07,2.0957894171199157e-05
2021-02-12,1.3155341798138355e-11,8.575920225862088e-10,0.00019608423277011483,8.15884779374154e-07,2.0656377885844117e-05
2021-02-13,1.3063534221362982e-11,7.491361796612924e-10,0.0001843322361720287,7.521272741715847e-07,1.9728469224477956e-05
2021-02-14,1.3486729350831792e-11,7.106442020353751e-10,0.00018135908278892488,7.409898442853639e-07,1.918901435047759e-05
2021-02-15,1.3543285095519084e-11,6.992415543490231e-10,0.0001680121959553348,7.454907784837372e-07,1.9070072848322364e-05
2021-02-16,1.2101976893039433e-11,6.191811659615429e-10,0.0001380221566839356,7.065089527682252e-07,1.5365985941333607e-05
2021-02-17,1.093724922558929e-11,5.80646696398431e-10,0.0001240585063090648,6.392783905592812e-07,1.2883811042769394e-05
2021-02-18,1.0795153379249636e-11,5.987276708017802e-10,0.00012943383132055664,6.329822530384312e-07,1.222836169345945e-05
2021-02-19,1.1867574129422942e-11,6.045335367086209e-10,0.00011205630447250637,5.457067022113064e-07,1.1322106631145995e-05
2021-02-20,1.093553088969862e-11,5.516954269060175e-10,0.0001155156192515815,5.26434706374021e-07,1.0252412016142215e-05
2021-02-21,1.1051950915407779e-11,5.104421013579721e-10,9.73042521150479e-05,4.1109240679268726e-07,9.721383911081606e-06
2021-02-22,1.0373889295166013e-11,4.91480707674357e-10,8.612127656252178e-05,4.0287662528976087e-07,9.362255342184635e-06
