asset,factor,horizon,IC
ETH-USD,vol60,20d,0.04137863172383633
ETH-USD,volvol,20d,-0.09819473915925568
ETH-USD,turnover,20d,-0.2754523886968583
ETH-USD,rsi14,20d,0.041116185906485005
ETH-USD,rsi28,20d,0.11311591327845884
ETH-USD,macd,20d,0.09705891686169357
ETH-USD,bb_pos,20d,0.024041778334432808
ETH-USD,vol_ratio,20d,-0.11525351611267384
ETH-USD,amihud,20d,0.27751732716383143
ETH-USD,52wk_pos,20d,-0.006410475939949387
SOL-USD,mom5,1d,0.018087844156921207
SOL-USD,mom20,1d,0.028633031443578674
SOL-USD,mom60,1d,0.016498747643228763
SOL-USD,vol10,1d,0.021378278631787387
SOL-USD,vol30,1d,-0.0017639335592452017
SOL-USD,vol60,1d,-0.005388414114647651
SOL-USD,volvol,1d,0.06167975861065987
SOL-USD,turnover,1d,-0.0656407460087524
SOL-USD,rsi14,1d,0.026055812537257025
SOL-USD,rsi28,1d,0.053457252227072996
SOL-USD,macd,1d,0.032746374363452325
SOL-USD,bb_pos,1d,0.04106873115781321
SOL-USD,vol_ratio,1d,0.006187336796116811
SOL-USD,amihud,1d,0.0714450943828009
SOL-USD,52wk_pos,1d,0.006504390530902071
SOL-USD,mom5,5d,0.0647954131364352
SOL-USD,mom20,5d,0.08488615768887553
SOL-USD,mom60,5d,0.049742495850962576
SOL-USD,vol10,5d,0.07656093334025839
SOL-USD,vol30,5d,0.02049648107141349
SOL-USD,vol60,5d,0.010591446662398715
SOL-USD,volvol,5d,0.11744741542267176
SOL-USD,turnover,5d,-0.14920642049677535
SOL-USD,rsi14,5d,0.08762976744092137
SOL-USD,rsi28,5d,0.1331761937349279
SOL-USD,macd,5d,0.09292194694528068
SOL-USD,bb_pos,5d,0.09354579142312332
SOL-USD,vol_ratio,5d,0.04897738059812053
SOL-USD,amihud,5d,0.16339703616834358
SOL-USD,52wk_pos,5d,0.0238426409198759
SOL-USD,mom5,20d,0.09071497171993953
SOL-USD,mom20,20d,0.18288159060726428
SOL-USD,mom60,20d,0.10508714003872892
SOL-USD,vol10,20d,0.08070351101754009
SOL-USD,vol30,20d,-0.013681341747630412
SOL-USD,vol60,20d,0.05422915832407037
SOL-USD,volvol,20d,0.11727067840449579
SOL-USD,turnover,20d,-0.2797824740827541
SOL-USD,rsi14,20d,0.20015551764048095
SOL-USD,rsi28,20d,0.15247539700615279
SOL-USD,macd,20d,0.16922459998557132
SOL-USD,bb_pos,20d,0.16159518612471244
SOL-USD,vol_ratio,20d,-0.024327601923378638
SOL-USD,amihud,20d,0.2783260007003987
SOL-USD,52wk_pos,20d,0.11477771106551844
